what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1555887930420
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555887930448
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555887930574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555887943233
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555887943250
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555887947358
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1555887947410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555887950713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888158274
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1555888161586
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555888172570
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555888175897
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555888176988
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555888178900
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555888180121
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1555888202434
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1555888202789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888202979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888203028
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1555888209992
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1555888210011
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1555888211333
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1555888227886
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1555888227897
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1555888229628
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555888239855
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1555888239863
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1555888250892
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1555888250925
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1555888250934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888253369
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1555888275714
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1555888275742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888344134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1555888344188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888348431
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888418946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888455988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888458279
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1555888458417
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555888458481
error,log,,,"Unhandled event loop exception",1555888458640
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1555888458669
