what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1555890147825
os,sysinfo,,,"macosx",1555890147827
arch,sysinfo,,,"x86_64",1555890147827
ws,sysinfo,,,"cocoa",1555890147827
locale,sysinfo,,,"en_US",1555890147827
processors,sysinfo,,,"4",1555890147827
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1555890147827
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468",1555890147827
java.specification.name,sysinfo,,,"Java Platform API Specification",1555890147827
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1555890147827
java.specification.version,sysinfo,,,"1.6",1555890147827
java.vendor,sysinfo,,,"Apple Inc.",1555890147827
java.version,sysinfo,,,"1.6.0_65",1555890147827
java.vm.info,sysinfo,,,"mixed mode",1555890147827
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1555890147827
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1555890147827
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1555890147827
java.vm.specification.version,sysinfo,,,"1.0",1555890147827
java.vm.vendor,sysinfo,,,"Apple Inc.",1555890147827
java.vm.version,sysinfo,,,"20.65-b04-468",1555890147827
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555890155644
opened,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1555890161878
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1555890161928
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555890167946
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555890172763
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1555890174343
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1555890176834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555890186216
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1555890208066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555890218993
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1555890231885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555890231990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555890244588
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1555890246633
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555890246633
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1555890246658
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555890248212
closed,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1555890248212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555890249616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555890251268
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555890251349
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1555890251567
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1555890251569
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1555890251570
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1555890251572
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1555890251573
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1555890251577
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1555890251578
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1555890395785
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1555890395786
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1555890395786
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1555890395787
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1555890395788
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1555890395788
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1555890395789
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1555890395789
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1555890395790
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1555890395790
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1555890395791
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1555890395791
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1555890395791
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1555890395792
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1555890395792
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1555890395792
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1555890395793
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1555890395793
